-0.34979412  0.34385168 -0.09348523 -0.05983008|-0.34979405  0.34385172 -0.34979405 -0.34979405|-0.34979405 -0.00943717  0.04564135 -0.07104298 -0.00760236  0.03795557 -0.01345567, 0.34385172 -0.04472657  0.0082798   0.00306696  0.01402247  0.0265548  0.02565677
-0.72828885 -0.28058809 -0.08184271 -0.08139507|-0.72828887 -0.28058519 -0.72828887 -0.72828887|-0.72828887  0.05027193  0.02460085 -0.04927399  0.02359018  0.01800425 -0.01845536,-0.28058519  0.00256832  0.02585377  0.00534129  0.06049266 -0.02611146  0.04189638
-0.0620558  -0.30465601 -0.08353008 -0.06310863|-0.06206985 -0.30465589 -0.06206985 -0.06206985|-0.06206985 -0.0357788   0.04770904 -0.03436142  0.04203871  0.00870637  0.02187714,-0.30465589 -0.03281872 -0.00730611 -0.04824836 -0.02301046  0.00218044  0.00644484
-0.60939573 -0.39051042  0.08353048 -0.08205844|-0.60939598 -0.39051071 -0.60939598 -0.60939598|-0.60939598 -0.01200923  0.04009157 -0.06816787  0.00114116  0.01212853 -0.02335096,-0.39051071 -0.02460087 -0.03877751  0.03283835  0.04536558 -0.00631876 -0.03969112
0.04320323 0.1983802  0.07918435 0.06001741|0.04320813 0.19838016 0.04320813 0.04320813| 0.04320813 -0.01894606  0.04092122  0.04815058 -0.01455813  0.04164623 -0.00961641, 0.19838016 -0.00634701  0.01415628 -0.00396739  0.034983    0.03640161 -0.03020486
-0.05956615 -0.65546551 -0.06444454 -0.05419546|-0.0595719  -0.65546551 -0.0595719  -0.0595719 |-0.0595719  -0.03701215  0.00582212  0.04136153  0.00528531 -0.03191265  0.00805834,-0.65546551 -0.02050913  0.03891811 -0.00597477 -0.02966781  0.00374944  0.00968813
 0.78823462 -0.16389215  0.03709053 -0.06877348| 0.78823478 -0.16389062  0.78823478  0.78823478| 0.78823478  0.00556404  0.0200086  -0.01400213  0.01407392  0.01994186  0.01358064,-0.16389062 -0.034119   -0.01489937  0.05349849 -0.00979127  0.01915666 -0.00924566
-0.18989963  0.58390489 -0.05703791 -0.09341384|-0.18989882  0.58390486 -0.18989882 -0.18989882|-1.89898817e-01 -4.08093391e-02 -4.83690106e-03  8.05239848e-03  3.72743228e-02  7.40303959e-05  1.20283898e-02,0.58390486 0.00360811 0.04638656 0.05555818 0.02849931 0.01459055 0.05140113
 0.03014113 -0.22471095  0.08294142  0.07998829| 0.03014197 -0.22471095  0.03014197  0.03014197| 0.03014197 -0.00754502  0.01626232  0.0572062   0.02486975 -0.0507097 -0.0167517 ,-0.22471095 -0.02600024 -0.04551531 -0.02217807  0.03412995 -0.01335742  0.04401617
 0.44374199 -0.66757995 -0.06914837  0.08747722| 0.44374191 -0.66758     0.44374191  0.44374191| 0.44374191 -0.04172995 -0.00259362  0.00517858 -0.01646329 -0.02119535 -0.04916873,-0.66758    -0.02197053 -0.00249934 -0.00630863 -0.05587941  0.05690177  0.03151889
