1 11 | 0.7390230683435994 0.19426546453029703 -0.3696480129512635 0.09562906447218986 0.4832275476817726 0.6858890381631878 0.007820126986254809 0.19449589741930298 -0.008810249470825152 0.24031985962938623 -0.010225230593835094 -0.3698677271234607 | 0.3314352725515673 0.20238234670705466 -0.4107585039911536 0.09128658825293527 0.24424297880571558 0.6770942635217063 -0.08425382131512314 0.20348428523327977 -0.01678132996972078 0.23936012725864272 1.3358951743751687e-05 -0.47089380952767823 | 518262.2583189793 | 69
1 12 | 0.20893067752401176 -0.21557204331168375 -0.3606097733829922 0.1471082594789069 1.4614175643918297 -0.5903173714473909 0.43433603079184985 0.3260172917118259 -0.141609169347811 -0.10834412467184468 -0.40059114380339134 -0.39744060311503326 | 0.20291876224562608 -0.22619937255053937 -0.36821962955508364 0.20248412147328962 1.4534434702914494 -0.5861535350311678 0.5357991830196235 0.5758260573172906 -0.39383080579878993 -0.16840544581644837 -0.7692195596953958 -0.49104887357245186 | 12019.227284209703 | 85
1 13 | -0.2595220946949683 0.3947332566307658 -0.29251252693918456 0.5358916525265808 -0.26134308802462936 0.13257534671517496 0.16151875908271 -0.017415219603106782 0.06726812063187072 -0.07510943425375116 -0.2697314377114984 0.0417427917061607 | -0.1646001238363145 0.3885937656541748 -0.40923742612911546 0.5821028740794447 -0.3111676610781369 0.12733727183066043 0.08866813263364139 0.13826259853508702 0.21173879086251746 -0.36978180575978226 -0.3136163405209323 0.04459867499277351 | 21951.039924545996 | 75
1 14 | -0.8385067168966699 0.32030459164567004 0.22047009516853852 -0.456734734053982 -0.5572273080437928 -0.9055886740098805 0.17257376497524876 0.1797267144365476 -0.027358380314763668 -0.3109728413576248 0.1048299876964793 -0.07039063028307375 | -0.8504600861896268 0.33199054334923545 0.22204618406118684 -0.33612556299925345 -0.6177936840736113 -0.9086362710560342 0.3215518784627245 0.1927365001899987 -0.02895973335302228 -0.230012193232891 0.18154305694123793 0.34858066157645023 | 771527.5102711436 | 63
1 15 | -0.9750978797053095 0.2982546764626596 0.1696629355691282 0.19027877548135252 0.11845850177829083 -0.4931525597493051 0.27327397184243896 -0.09611921772554513 0.021769485451884472 -0.22978190973717694 -0.03981767965589329 -0.08079720010838773 | -0.9754693267901022 0.3016667244554724 0.2999596305429478 0.22168525809986117 0.1976653610866699 -0.49375296560296666 0.6193733196277967 -0.5027312247508864 0.20842425422472435 -0.2710069624932642 -0.1420084510272277 -0.32606313653237295 | 1190.655321277756 | 91
1 16 | -1.3870401084173853 -0.2561571854209454 0.9355186061792314 0.42126805184207244 -0.48715038992230647 -1.3088063874012874 -0.09406192113198378 -0.1688435240137591 -0.04187877713452107 -0.006432466093840913 0.19122049315346085 -0.016171104771729984 | -1.2389235475716163 -0.29551346971694603 0.7438662876744976 0.49943622236506835 -0.5966984694087528 -1.256185320703885 0.22305647633978853 -0.22125010372604437 0.349286684902934 -0.18728177579241118 0.32301507194633294 0.060040871500762455 | 1694704.1905921055 | 71
1 17 | -1.037486778841156 -0.6344811060738176 -0.12406954174251333 -0.09902610058756521 -0.09709286307251491 -0.7112677504523452 -0.1212577501621868 0.07597652879570779 -0.06747631995635546 -0.2759178885306518 0.028025214308272414 0.05851891616882358 | -1.0375803516124722 -0.6373522097523451 -0.09050131591950657 -0.10747895891331782 -0.12541797807742555 -0.7130701567723753 -0.3846677729719772 0.4090223205465414 -0.12672049320896528 -0.35157414200030357 0.050577912048954364 0.6651510532541478 | 1104.6283896942284 | 179
1 18 | 0.10700086882801714 0.5683617714651248 -0.5613269440761365 -0.8247636746153393 0.9816953350572549 0.014786375126603243 0.08875430423752442 -0.06109862397652391 0.08524382980425782 -0.16686446566531768 0.07725644597715911 -0.03844450611377735 | 0.10763368809127695 0.4502143458733107 -0.5975311166113794 -0.9426156946655936 0.9831600042329965 0.014865412639520693 0.08943403512825823 -0.11653654478516108 0.23655523965007458 -0.5334693397906353 0.5819700344963942 -0.038459817414317685 | 14407.23701493247 | 69
1 19 | -1.355494258846821 -0.46006856552549796 0.4948933603332518 -0.6164504303720716 -0.5392787802823639 0.3198978131954224 -0.35979020283086666 0.3517148251496594 0.08194743004441232 0.15289672751935188 -0.20388850227041697 -0.2727159797825617 | -1.3556201204560157 -0.4608993576581831 0.4912709165846345 -0.617337804179526 -0.5349329298149588 0.31986448970772147 -0.4210517892830197 0.4838704761663832 0.4249374076604253 0.32773613079841063 -0.5539380711160387 -0.46141140509320583 | 359.67128140715886 | 89
1 20 | -0.38635095015619436 1.7640191490871688 0.6656429914219165 0.8251300854893885 -0.13079809658358577 0.37984977044971036 -0.21164809224404205 0.3096101886286677 -0.02863419306759725 0.2536368919043462 0.06911045465182133 -0.3263356770642744 | -0.38442875775336 1.7620010436412092 0.6707271798406683 0.8260097569612199 -0.17912526156501105 0.3658806813460745 -0.5494119892954572 0.5535518931047353 0.38860877268967453 0.5682586575945157 0.13463033862641763 -0.6591187405135637 | 5883.664321447747 | 85
